ORF	Protein Molecules/Cell
YBR118W	450.486391395
YBR119W	2948.5732824727
YBR120C	2132.6275242022
YBR121C	98424.7449457835
YBR123C	15841.1273580997
YBR125C	148.8112425442
YBR126C	10895.6756075977
YBR127C	130501.573926898
YBR129C	1564.4434529865
YBR130C	1010.9007026597
YBR131W	2869.7762943515
YBR133C	1183.5659892807
YBR135W	8784.6103965882
YBR137W	1197.6594091073
YBR138C	194.7116977248
YBR139W	1417.9400162189
YBR141C	622.8430059684
YBR142W	981.4205090352
YBR143C	13112.9007092155
YBR145W	1308.9672167951
YBR149W	30200.4365355545
YBR150C	572.556510114
YBR151W	1997.6522466363
YBR152W	2513.8880793775
YBR155W	672.1270087993
YBR156C	319.3003892695
YBR158W	2022.3600368153
YBR159W	41938.1775704658
YBR160W	6665.9527404107
YBR161W	194.7116977248
YBR162C	12316.7250169555
YBR162W-A	845.8189247369
YBR163W	1417.9400162189
YBR164C	5193.121682969
YBR166C	2181.1741432305
YBR169C	6301.716046342
YBR170C	1054.7212022
YBR171W	7820.7037085828
YBR172C	486.1322481776
YBR173C	2744.8359377597
YBR176W	1417.9400162189
YBR177C	2548.8607545617
YBR179C	1010.9007026597
YBR181C	38831.8363393873
YBR185C	2721.9668807759
YBR187W	2169.0631860444
YBR188C	1431.4112664128
YBR189W	63349.6449730353
YBR193C	936.7759726021
YBR195C	148.8112425442
YBR196C	91628.7624609232
YBR197C	1363.7275340396
YBR198C	14834.2935200752
YBR199W	5237.0556368193
YBR200W	6488.9174077474
YBR201W	238.0117922074
YBR202W	166.3923354344
YBR205W	704.4806631731
YBR207W	486.1322481776
YBR208C	951.7158018827
YBR211C	1629.8915548926
YBR212W	1538.071714315
YBR214W	2835.839686762
YBR215W	238.0117922074
YBR216C	3060.232559141
YBR218C	16951.0635895504
YBR221C	9969.9007836308
YBR222C	8771.7037011405
YBR223C	2132.6275242022
YBR225W	622.8430059684
YBR227C	10868.0853357173
YBR229C	238.0117922074
YBR230C	4749.488951802
YBR231C	1681.776763163
YBR233W	1590.7038243054
YBR233W-A	468.3946500874
YBR237W	357.9774132475
YBR238C	2083.801264799
YBR239C	85.5288783171
YBR242W	2733.407425895
YBR244W	2010.0156923387
YBR245C	1498.2989478748
YBR246W	2641.5396274417
YBR247C	21578.1267829634
YBR248C	11846.5025264849
YBR249C	26271.8474288246
YBR251W	6677.8074957253
YBR252W	4339.0803031596
YBR253W	2181.1741432305
YBR254C	1197.6594091073
YBR255W	395.6283435379
YBR256C	7303.1452291351
YBR258C	1524.8431866141
YBR260C	1498.2989478748
YBR261C	3060.232559141
YBR262C	2548.8607545617
YBR263W	17715.9607783834
YBR264C	1363.7275340396
YBR265W	7696.481883353
YBR266C	338.7778519542
YBR267W	830.424216702
YBR268W	1098.0882582037
YBR271W	216.6344940172
YBR272C	468.3946500874
YBR273C	2193.2682071823
YBR274W	2525.5591588584
YBR278W	783.7988872508
YBR279W	1040.1661565026
YBR281C	1935.5421617326
YBR282W	2253.4899496255
YBR283C	704.4806631731
YBR286W	4738.8228844492
YBR287W	6441.958020886
YBR288C	3410.9687579253
YBR289W	216.6344940172
YBR290W	3071.3416994333
YBR299W	4031.3177776271
YCL001W	2835.839686762
YCL005W	148.8112425442
YCL008C	1363.7275340396
YCL009C	15792.5808960508
YCL010C	1746.0733400771
YCL011C	2537.2166860902
YCL016C	1655.8852847577
YCL017C	503.7084662699
YCL024W	538.4095771344
YCL025C	21148.2957271022
YCL028W	1141.0285435955
YCL029C	299.5191020804
YCL030C	521.1316998811
YCL031C	2606.8824065397
YCL032W	1668.843655697
YCL033C	799.4163217257
YCL035C	3026.8439885038
YCL037C	8425.4572217249
YCL039W	1197.6594091073
YCL040W	21114.4060491832
YCL044C	3410.9687579253
YCL045C	2835.839686762
YCL047C	830.424216702
YCL049C	655.8032161618
YCL050C	19606.9661501746
YCL052C	4931.9433778957
YCL055W	1694.6848986276
YCL057W	8914.0001412224
YCL059C	4339.0803031596
YCL061C	720.5172912198
YCL064C	36601.5051666811
YCR002C	14088.4403848383
YCR003W	1694.6848986276
YCR004C	14599.3788638343
YCR005C	2313.3094733387
YCR008W	1025.559691608
YCR009C	7388.6402948917
YCR011C	338.7778519542
YCR012W	314024.353980272
YCR016W	1847.7329905801
YCR018C	2096.034577029
YCR020C	194.7116977248
YCR020C-A	2144.7900218404
YCR020W-B	3553.7871199454
YCR021C	7795.8100689504
YCR024C	783.7988872508
YCR024C-A	123764.948638941
YCR026C	3421.7793883197
YCR027C	1603.7931122185
YCR028C-A	3060.232559141
YCR030C	4276.9681590959
YCR031C	29596.6426298701
YCR033W	395.6283435379
YCR034W	3507.9587258202
YCR035C	3181.8864811569
YCR036W	1784.3658775181
YCR037C	503.7084662699
YCR038C	2108.2499540996
YCR042C	1155.2513414061
YCR043C	4235.7145581398
YCR044C	3049.1132644576
YCR046C	4153.5802020979
YCR047C	1616.8555807358
YCR051W	783.7988872508
YCR052W	2474.9320901297
YCR053W	26000.3704144735
YCR054C	8965.9199128082
YCR057C	16650.5581779195
YCR059C	3026.8439885038
YCR060W	1655.8852847577
YCR063W	1898.0350165331
YCR065W	357.9774132475
YCR066W	205.7465961204
YCR068W	3060.232559141
YCR071C	1707.5683474583
YCR073C	56.8663855886
YCR073W-A	1155.2513414061
YCR076C	357.9774132475
YCR077C	655.8032161618
YCR079W	432.3971638247
YCR081W	1733.2622972652
YCR082W	981.4205090352
YCR083W	1010.9007026597
YCR084C	5841.2263930313
YCR086W	1923.0602612185
YCR087C-A	3432.5814334175
YCR088W	606.1982940209
YCR090C	3970.6126431524
YCR092C	736.4646183164
YCR093W	4297.6413647398
YCR094W	589.4377909277
YCR095C	5369.5430756136
YCR105W	2869.7762943515
YDL001W	951.7158018827
YDL002C	1758.8607802603
YDL003W	1041.4932849146
YDL005C	10785.444724807
YDL006W	1524.8431866141
YDL008W	376.9212091513
YDL010W	1642.9013525775
YDL012C	2253.4899496255
YDL015C	23596.902991211
YDL017W	1600.2285965081
YDL018C	3192.8874471019
YDL019C	1069.2258916953
YDL021W	2022.3600368153
YDL022W	807.196255864
YDL025C	861.1434606989
YDL027C	450.486391395
YDL029W	6654.1045143234
YDL030W	3917.6329036299
YDL033C	1511.5857252334
YDL036C	639.376548517
YDL040C	7597.5493415668
YDL042C	3345.9223666925
YDL043C	3464.9364609705
YDL044C	2059.2801982614
YDL045W-A	258.9158930092
YDL046W	2835.839686762
YDL047W	3970.6126431524
YDL048C	622.8430059684
YDL053C	1564.4434529865
YDL055C	97062.3849706862
YDL056W	521.1316998811
YDL058W	2325.2264986127
YDL059C	468.3946500874
YDL060W	1390.9002255948
YDL061C	5413.9328779832
YDL063C	2595.3042699329
YDL064W	2595.3042699329
YDL065C	5347.3906855465
YDL067C	35501.7849112221
YDL069C	555.5490567277
YDL070W	2926.1144859211
YDL072C	2835.839686762
YDL074C	2982.1810943653
YDL076C	3060.232559141
YDL077C	319.3003892695
YDL078C	3302.3810759626
YDL080C	2144.7900218404
YDL082W	133101.118796687
YDL084W	51687.4111857566
YDL085C-A	876.3996935368
YDL087C	2265.4855184045
YDL088C	2744.8359377597
YDL089W	606.1982940209
YDL090C	3910.1937474524
YDL091C	232.7143390735
YDL092W	7995.6456994741
YDL095W	41519.7347185551
YDL097C	16761.4806390862
YDL098C	906.7142854482
YDL099W	5215.0743238738
YDL100C	17332.204641602
YDL101C	3475.7045671874
YDL103C	5480.7294738287
YDL104C	1404.4364918104
YDL106C	6418.5179970583
YDL107W	736.4646183164
YDL108W	4401.469187709
YDL109C	194.7116977248
YDL110C	2108.2499540996
YDL111C	7108.8905546267
YDL112W	861.1434606989
YDL113C	357.9774132475
YDL115C	1083.6812483905
YDL116W	8578.8109649844
YDL117W	376.9212091513
YDL119C	1551.2716815962
YDL120W	1564.4434529865
YDL121C	3258.6948795511
YDL122W	8965.9199128082
YDL123W	6784.7933838777
YDL124W	4031.3177776271
YDL125C	5413.9328779832
YDL126C	78351.1185098322
YDL128W	7770.9410366439
YDL129W	450.486391395
YDL130W	22448.4870878126
YDL131W	21863.8525450492
YDL132W	376.9212091513
YDL133C-A	4910.367739703
YDL134C	5615.0811570089
YDL135C	1668.843655697
YDL136W	19095.8114525283
YDL137W	25012.4719259136
YDL139C	555.5490567277
YDL141W	1972.8673365865
YDL142C	876.3996935368
YDL143W	5534.9765016212
YDL144C	5171.1977601342
YDL145C	15238.2648483945
YDL146W	329.0753792924
YDL147W	5705.2070698303
YDL150W	997.9738507107
YDL155W	891.5894029485
YDL156W	3810.1362331204
YDL157C	752.3255359761
YDL159W	672.1270087993
YDL160C	42884.4114036756
YDL164C	148.8112425442
YDL165W	2120.4475519877
YDL166C	8349.1025123887
YDL167C	3573.3091406546
YDL168W	8374.5301450655
YDL170W	1197.6594091073
YDL171C	18915.4425937195
YDL173W	1141.0285435955
YDL174C	10785.444724807
YDL175C	1797.0840343749
YDL176W	338.7778519542
YDL177C	906.7142854482
YDL178W	11368.0082767568
YDL181W	981.4205090352
YDL182W	28103.8177061441
YDL184C	11874.8390602002
YDL185W	199894.952537699
YDL188C	4112.7003747382
YDL189W	891.5894029485
YDL190C	2595.3042699329
YDL192W	19342.6218913988
YDL195W	1835.1038353991
YDL197C	1910.5579465296
YDL201W	2630.000000118
YDL202W	6070.1179749831
YDL203C	98.9415232018
YDL205C	8480.5202140426
YDL207W	1040.1661565026
YDL209C	2653.0665869815
YDL211C	3356.7853811883
YDL212W	6512.4366978056
YDL213C	8965.9199128082
YDL215C	7400.8790218637
YDL219W	4611.411748504
YDL220C	318.981158125
YDL222C	329.0753792924
YDL225W	5615.0811570089
YDL226C	9556.4008909942
YDL229W	170038.634511978
YDL230W	2687.5722804063
YDL232W	2431.8029498398
YDL233W	1010.9007026597
YDL234C	2455.326041069
YDL235C	6325.0232238195
YDL236W	2982.1810943653
YDL238C	279.4032573719
YDL240W	468.3946500874
YDL241W	1295.1875435962
YDR001C	1835.1038353991
YDR003W	1225.7221759237
YDR004W	238.0117922074
YDR005C	1720.4273891027
YDR007W	1847.7329905801
YDR009W	720.5172912198
YDR011W	1295.1875435962
YDR012W	151453.927078165
YDR013W	1431.4112664128
YDR014W	720.5172912198
YDR016C	799.4163217257
YDR017C	1935.5421617326
YDR019C	4092.3075040772
YDR020C	4276.9681590959
YDR021W	3089.6425291344
YDR022C	486.1322481776
YDR026C	432.3971638247
YDR027C	2537.2166860902
YDR028C	2560.4914565865
YDR032C	2325.2264986127
YDR033W	182461.922472351
YDR034C	450.486391395
YDR034W-B	861.1434606989
YDR035W	8965.9199128082
YDR036C	3950.4411248468
YDR038C	606.1982940209
YDR039C	639.376548517
YDR040C	688.3516602345
YDR041W	8476.47986313
YDR043C	555.5490567277
YDR044W	22029.3026442657
YDR047W	9223.4350227764
YDR049W	3930.3014722822
YDR050C	207073.485832274
YDR051C	3170.875938744
YDR054C	8171.7819190479
YDR055W	11676.9247311532
YDR056C	1597.2518412868
YDR059C	981.4205090352
YDR060W	15024.3616128394
YDR061W	1577.5873845776
YDR062W	54505.2546963075
YDR063W	3037.9837596704
YDR065W	1668.843655697
YDR066C	1054.7212022
YDR068W	3269.6301719607
YDR069C	427.845260971
YDR070C	936.7759726021
YDR071C	8681.5217142422
YDR072C	606.1982940209
YDR073W	1025.559691608
YDR074W	22725.2580295781
YDR075W	2835.839686762
YDR076W	1054.7212022
YDR077W	1630
YDR079W	468.3946500874
YDR080W	1169.4302239778
YDR081C	571.9566735344
YDR083W	2779.0500218729
YDR084C	1040.1661565026
YDR087C	6964.2690488454
YDR088C	1493.342690667
YDR089W	172.1478323647
YDR091C	6278.4355498351
YDR092W	8965.9199128082
YDR096W	432.3971638247
YDR097C	5325.2666956406
YDR098C	11006.253146075
YDR099W	47603.2240425955
YDR100W	4537.5873704224
YDR101C	45117.5306946296
YDR103W	1898.0350165331
YDR108W	8758.8028877095
YDR110W	1511.5857252334
YDR111C	3475.7045671874
YDR115W	194.7116977248
YDR116C	7012.3738318688
YDR117C	3870.0743306775
YDR118W	1332.3007326762
YDR120C	15545.4607361461
YDR121W	2096.034577029
YDR122W	279.4032573719
YDR123C	783.7988872508
YDR124W	3514.8426701724
YDR125C	142.8357447648
YDR127W	6418.5179970583
YDR128W	555.5490567277
YDR129C	3514.8426701724
YDR132C	172.1478323647
YDR135C	395.6283435379
YDR137W	589.4377909277
YDR138W	1336.4179403345
YDR139C	1308.9672167951
YDR140W	3389.3215771565
YDR141C	2699.049385473
YDR142C	589.4377909277
YDR143C	172.1478323647
YDR144C	538.4095771344
YDR145W	930.1202589674
YDR146C	688.3516602345
YDR147W	3421.7793883197
YDR148C	7970.5806377092
YDR152W	10293.7319752973
YDR153C	8096.1493730747
YDR155C	85989.8773984639
YDR156W	3104.608742821
YDR158W	18361.306959058
YDR159W	338.7778519542
YDR161W	1629.8915548926
YDR162C	521.1316998811
YDR164C	639.376548517
YDR165W	5909.607346566
YDR166C	3398.6731056839
YDR167W	3367.6395593105
YDR168W	10226.0029562384
YDR169C	639.376548517
YDR170C	3671.4144529815
YDR170W-A	2914.8688258433
YDR171W	1471.6358688915
YDR172W	78851.4718764359
YDR173C	2721.9668807759
YDR174W	19013.7598564819
YDR175C	3148.8259239221
YDR176W	2467.0663268186
YDR177W	8939.9483476626
YDR178W	7920.5237456104
YDR179C	357.9774132475
YDR179W-A	258.9158930092
YDR180W	3313.2798714379
YDR181C	768.1027686178
YDR182W	582.5935596996
YDR183W	2253.4899496255
YDR184C	845.8189247369
YDR185C	672.1270087993
YDR186C	194.7116977248
YDR189W	5782.4972071186
YDR190C	11620.5674162351
YDR191W	376.9212091513
YDR194C	10293.7319752973
YDR195W	7449.8966369054
YDR196C	1655.8852847577
YDR197W	2144.7900218404
YDR198C	768.1027686178
YDR200C	376.9212091513
YDR201W	639.376548517
YDR202C	2858.4753648725
YDR205W	1069.2258916953
YDR207C	216.6344940172
YDR210W	13112.9007092155
YDR211W	33849.1698560088
YDR213W	752.3255359761
YDR214W	13939.2415961353
YDR217C	400.2701462918
YDR219C	1363.7275340396
YDR221W	9755.8037199386
YDR222W	1010.9007026597
YDR226W	122594.543727782
YDR228C	2803.5334758935
YDR229W	2835.839686762
YDR232W	22578.1626046821
YDR233C	37104.8019131957
YDR234W	7351.9618014435
YDR235W	1730.4687211733
YDR236C	830.424216702
YDR238C	26000.3704144735
YDR239C	154.7269600413
YDR240C	360.7652168421
YDR244W	2071.5498589062
YDR245W	6278.4355498351
YDR246W	3126.7369965988
YDR247W	783.7988872508
YDR248C	503.7084662699
YDR251W	299.5191020804
YDR252W	1822.4527776717
YDR254W	606.1982940209
YDR256C	622.8430059684
YDR257C	4011.051030698
YDR258C	2993.3625053547
YDR259C	1350.090108664
YDR261C	2408.2224763865
YDR262W	4845.8170378498
YDR264C	4071.9460744903
YDR266C	1910.5579465296
YDR267C	5637.5709245899
YDR268W	672.1270087993
YDR272W	13731.1923436951
YDR275W	921.7759599044
YDR279W	2337.1281790302
YDR280W	4802.9305744408
YDR283C	279.4032573719
YDR284C	3037.9837596704
YDR285W	390.9727993169
YDR288W	2537.2166860902
YDR289C	3930.3014722822
YDR291W	258.9158930092
YDR292C	1997.6522466363
YDR293C	1098.0882582037
YDR294C	13112.9007092155
YDR295C	1498.2989478748
YDR296W	2606.8824065397
YDR297W	54278.1264551958
YDR298C	32362.5079979014
YDR299W	15422.3544524287
YDR300C	10429.6047789539
YDR301W	639.376548517
YDR303C	1753.1881622999
YDR305C	1923.0602612185
YDR308C	1390.9002255948
YDR309C	1126.7610050868
YDR310C	148.8112425442
YDR311W	5145.3996240872
YDR312W	1350.090108664
YDR313C	194.7116977248
YDR314C	78.6235305108
YDR316W	503.7084662699
YDR318W	951.7158018827
YDR320C	768.1027686178
YDR320C-A	966.5968624001
YDR322C-A	4590.2814139267
YDR322W	7696.481883353
YDR323C	768.1027686178
YDR324C	5436.170201652
YDR325W	1923.0602612185
YDR329C	1404.4364918104
YDR330W	6630.4276675128
YDR331W	1564.4434529865
YDR332W	172.1478323647
YDR333C	338.7778519542
YDR334W	655.8032161618
YDR335W	3497.2156609059
YDR337W	6964.2690488454
YDR338C	194.7116977248
YDR341C	20600.5914880969
YDR342C	7351.9618014435
YDR345C	37205.7165397865
YDR346C	45224.7427519924
YDR347W	2835.839686762
YDR348C	1484.9824628795
YDR349C	148.8112425442
YDR352W	6348.3570448385
YDR353W	292122.331307527
YDR354W	1758.8607802603
YDR356W	279.4032573719
YDR357C	589.4377909277
YDR358W	655.8032161618
YDR361C	4590.2814139267
YDR362C	1125.065735038
YDR363W	1885.4912664347
YDR363W-A	5592.6192669301
YDR364C	1629.8915548926
YDR365C	655.8032161618
YDR367W	3421.7793883197
YDR368W	14148.2575533446
YDR369C	357.9774132475
YDR370C	1040.1661565026
YDR371W	3049.1132644576
YDR372C	1854.0394250809
YDR373W	7157.3019630625
YDR375C	1985.2695217318
YDR376W	1600.2242970279
YDR377W	14599.3788638343
YDR379C-A	861.1434606989
YDR379W	253.7309219168
YDR380W	6559.5542897965
YDR382W	601592.088654659
YDR385W	78122.3294669484
YDR386W	299.5191020804
YDR388W	14599.3788638343
YDR389W	1417.9400162189
YDR390C	18815.79117245
YDR391C	6024.1218875523
YDR392W	1707.5683474583
YDR393W	279.4032573719
YDR395W	16290.4263931748
YDR397C	2948.5732824727
YDR398W	33119.3827825168
YDR399W	36501.1017140863
YDR404C	6418.5179970583
YDR405W	2169.0631860444
YDR407C	258.9158930092
YDR408C	3910.1937474524
YDR409W	148.8112425442
YDR410C	2687.5722804063
YDR412W	2948.5732824727
YDR416W	2169.0631860444
YDR418W	50307.0726128285
YDR419W	1860.3404678557
YDR421W	319.3003892695
YDR422C	622.8430059684
YDR423C	622.8430059684
YDR424C	1308.9672167951
YDR425W	1797.0840343749
YDR427W	12445.9481001448
YDR430C	6139.3149860266
YDR432W	78656.4928435362
YDR434W	7523.6107492706
YDR436W	189.1352265558
YDR437W	752.3255359761
YDR439W	1390.9002255948
YDR440W	2156.9351936424
YDR441C	936.7759726021
YDR444W	2071.5498589062
YDR447C	30541.7265758358
YDR448W	1720.4273891027
YDR449C	7523.6107492706
YDR450W	48149.0314034704
YDR452W	319.3003892695
YDR453C	4824.3590392416
YDR454C	20507.28269302
YDR456W	521.1316998811
YDR457W	357.9774132475
YDR458C	1253.624220155
YDR460W	3049.1132644576
YDR461W	28940.5872674138
YDR462W	6278.4355498351
YDR463W	1308.9672167951
YDR465C	1603.7931122185
YDR469W	936.7759726021
YDR471W	22898.7726055988
YDR472W	8349.1025123887
YDR473C	432.3971638247
YDR474C	2132.6275242022
YDR476C	2120.4475519877
YDR477W	589.4377909277
YDR478W	172.1478323647
YDR479C	5040.2599067088
YDR480W	1308.9672167951
YDR481C	3060.232559141
YDR482C	555.5490567277
YDR483W	13025.2966067335
YDR484W	3126.7369965988
YDR485C	357.9774132475
YDR486C	2108.2499540996
YDR487C	5458.4357482114
YDR488C	752.3255359761
YDR493W	279.4032573719
YDR495C	2265.4855184045
YDR496C	21522.1911498786
YDR498C	4910.367739703
YDR499W	606.1982940209
YDR500C	19673.2257191452
YDR502C	22035.3072976671
YDR503C	299.5191020804
YDR505C	258.9158930092
YDR506C	589.4377909277
YDR507C	736.4646183164
YDR508C	10634.4457542535
YDR510W	2937.3492840016
YDR511W	194.7116977248
YDR513W	31400.1289718726
YDR514C	124.5101173897
YDR515W	861.1434606989
YDR516C	10566.0283131129
YDR517W	2733.407425895
YDR519W	5402.8248134833
YDR520C	936.7759726021
YDR522C	238.0117922074
YDR524C	395.6283435379
YDR525W-A	20406.6304053396
YDR527W	688.3516602345
YDR528W	258.9158930092
YDR529C	10077.4878952697
YDR530C	1771.6248752844
YDR531W	6185.5811273097
YDR532C	376.9212091513
YDR533C	357.9774132475
YDR538W	1746.0733400771
YDR539W	861.1434606989
YDR540C	172.1478323647
YEL001C	7108.8905546267
YEL002C	14902.5526987264
YEL003W	1655.8852847577
YEL006W	1629.8915548926
YEL007W	1707.5683474583
YEL011W	1225.7221759237
YEL012W	1590.7038243054
YEL013W	5682.6339230722
YEL015W	2343.0733016411
YEL017C-A	74715.5167342965
YEL017W	1295.1875435962
YEL018W	936.7759726021
YEL019C	2801.8006016641
YEL022W	7696.481883353
YEL027W	8450.9566105644
YEL031W	1872.9264876805
YEL032W	35099.977305605
YEL037C	10895.6756075977
YEL038W	2847.163184762
YEL039C	1308.9672167951
YEL041W	299.5191020804
YEL042W	8681.5217142422
YEL043W	148.8112425442
YEL044W	1720.4273891027
YEL046C	106018.191681685
YEL047C	7622.245279158
YEL048C	8655.8085291081
YEL050C	1577.5873845776
YEL051W	8502.0269520725
YEL052W	3573.3091406546
YEL053C	1972.8673365865
YEL054C	68483.7989258992
YEL055C	4485.0822659475
YEL058W	14690.1281679632
YEL059C-A	357.9774132475
YEL060C	1603.7931122185
YEL061C	238.0117922074
YEL062W	319.3003892695
YEL066W	1155.2513414061
YEL068C	951.7158018827
YEL070W	124.5101173897
YEL071W	12966.9950625399
YER001W	1784.3658775181
YER002W	2864.1272317659
YER003C	5222.3143348436
YER004W	1336.4179403345
YER005W	450.486391395
YER006W	7133.0835324185
YER007C-A	4215.13427699
YER007W	2144.7900218404
YER008C	376.9212091513
YER010C	845.8189247369
YER011W	622.8430059684
YER012W	21778.2809496615
YER013W	906.7142854482
YER014W	5347.3906855465
YER015W	357.9774132475
YER016W	3632.0735588404
YER017C	3870.0743306775
YER018C	3280.5562715803
YER019C-A	414.1154570885
YER019W	2169.0631860444
YER020W	4569.1811770449
YER021W	16666.9372885224
YER022W	3649.7549917683
YER023W	43518.8564544324
YER024W	319.3003892695
YER025W	20769.528735579
YER027C	3592.8642663957
YER029C	861.1434606989
YER030W	622.8430059684
YER031C	5955.3314202366
YER034W	1098.0882582037
YER035W	538.4095771344
YER036C	17635.7970052283
YER037W	194.7116977248
YER039C-A	98.9415232018
YER040W	589.4377909277
YER041W	130.6897311709
YER042W	3071.3416994333
YER044C	376.9212091513
YER047C	299.5191020804
YER048W-A	2443.5716161957
YER049W	8914.0001412224
YER050C	1211.7112303034
YER051W	783.7988872508
YER052C	48149.0314034704
YER053C-A	2360.885972901
