#ORF	Ave. SD
YDL144C	88.5
YDL145C	953.2
YDL146W	55.0
YDL147W	822.5
YDL150W	176.0
YDL152W	
YDL155W	
YDL156W	
YDL157C	55.5
YDL159W	55.0
YDL160C	572.5
YDL161W	172.5
YDL164C	
YDL165W	110.4
YDL166C	243.6
YDL167C	80.5
YDL168W	66.0
YDL170W	
YDL171C	1140.5
YDL173W	262.5
YDL174C	
YDL175C	
YDL176W	
YDL178W	352.5
YDL180W	
YDL181W	132.1
YDL182W	6433.0
YDL184C	6336.3
YDL185W	2731.1
YDL188C	
YDL189W	104.5
YDL190C	174.5
YDL191W	3582.0
YDL192W	2432.0
YDL193W	216.0
YDL195W	1173.0
YDL197C	
YDL201W	78.5
YDL202W	237.0
YDL203C	50.0
YDL204W	64.5
YDL205C	266.0
YDL207W	92.5
YDL208W	783.3
YDL209C	
YDL211C	
YDL212W	385.5
YDL213C	416.5
YDL215C	200.0
YDL216C	
YDL219W	
YDL220C	
YDL222C	
YDL223C	
YDL224C	138.0
YDL225W	255.5
YDL226C	410.5
YDL227C	
YDL229W	968.5
YDL230W	
YDL232W	1226.5
YDL233W	
YDL234C	59.5
YDL235C	204.6
YDL236W	411.5
YDL238C	
YDL240W	
YDL248W	
YDR001C	269.0
YDR003W	115.5
YDR004W	
YDR005C	
YDR006C	
YDR007W	106.5
YDR009W	
YDR011W	341.8
YDR012W	3327.5
YDR014W	
YDR016C	136.9
YDR017C	111.0
YDR019C	1916.5
YDR020C	
YDR021W	
YDR022C	
YDR023W	1773.0
YDR024W	
YDR025W	
YDR026C	
YDR027C	61.5
YDR028C	189.5
YDR031W	
YDR032C	231.4
YDR033W	2783.0
YDR034C	
YDR034W-B	123.4
YDR035W	1202.0
YDR036C	171.5
YDR038C	
YDR039C	
YDR040C	83.6
YDR041W	
YDR043C	
YDR044W	127.5
YDR046C	813.5
YDR047W	131.5
YDR049W	83.5
YDR050C	4138.5
YDR051C	62.0
YDR052C	
YDR054C	256.5
YDR055W	70.5
YDR056C	335.0
YDR059C	
YDR060W	250.5
YDR061W	85.5
YDR062W	292.5
YDR063W	202.7
YDR065W	
YDR066C	67.6
YDR067C	
YDR068W	179.5
YDR069C	
YDR070C	287.8
YDR071C	61.0
YDR072C	
YDR073W	
YDR074W	1336.5
YDR075W	62.0
YDR076W	
YDR077W	2147.5
YDR079C-A	
YDR079W	74.2
YDR080W	
YDR081C	
YDR083W	
YDR084C	
YDR086C	269.0
YDR087C	192.5
YDR088C	
YDR089W	
YDR090C	107.0
YDR091C	772.0
YDR092W	401.5
YDR093W	146.5
YDR096W	55.5
YDR097C	
YDR098C	104.0
YDR099W	2184.0
YDR100W	231.5
YDR101C	378.0
YDR103W	
YDR105C	146.0
YDR108W	48.0
YDR110W	
YDR111C	55.5
YDR115W	98.8
YDR116C	188.5
YDR118W	
YDR119W	280.0
YDR120C	128.0
YDR121W	
YDR122W	125.7
YDR123C	
YDR125C	
YDR127W	1564.5
YDR128W	
YDR129C	1561.0
YDR130C	
YDR131C	
YDR132C	
YDR135C	208.9
YDR137W	
YDR138W	50.0
YDR139C	
YDR140W	
YDR141C	
