#ORF	Ave. SD
YMR304W	189.0
YMR305C	
YMR307W	3654.0
YMR308C	319.5
YMR309C	1849.5
YMR310C	
YMR311C	387.5
YMR313C	78.0
YMR314W	
YMR315W	469.0
YMR318C	507.0
YMR319C	
YNL001W	296.5
YNL003C	97.5
YNL004W	208.0
YNL005C	
YNL006W	64.5
YNL007C	1391.0
YNL008C	
YNL010W	446.0
YNL015W	418.7
YNL016W	1396.0
YNL020C	
YNL021W	
YNL022C	
YNL024C	
YNL025C	
YNL027W	114.5
YNL030W	6484.6
YNL031C	139.0
YNL032W	65.0
YNL035C	75.0
YNL036W	221.5
YNL037C	980.0
YNL039W	
YNL040W	50.0
YNL041C	125.0
YNL042W	
YNL044W	825.5
YNL045W	228.0
YNL046W	
YNL048W	105.0
YNL049C	119.5
YNL051W	93.5
YNL052W	293.5
YNL053W	
YNL055C	641.5
YNL056W	
YNL058C	
YNL059C	62.0
YNL061W	373.5
YNL062C	90.0
YNL063W	
YNL064C	2413.0
YNL065W	70.0
YNL066W	102.0
YNL067W	15258.2
YNL068C	
YNL070W	100.5
YNL071W	193.5
YNL072W	
YNL073W	84.5
YNL074C	98.5
YNL076W	61.0
YNL077W	
YNL078W	
YNL081C	
YNL082W	
YNL083W	
YNL084C	263.5
YNL085W	101.5
YNL086W	99.9
YNL087W	206.5
YNL088W	
YNL090W	85.5
YNL091W	93.0
YNL094W	
YNL095C	
YNL096C	2876.5
YNL097C	51.0
YNL098C	764.0
YNL099C	
YNL100W	150.5
YNL102W	
YNL103W	269.0
YNL104C	1765.5
YNL106C	
YNL107W	
YNL108C	117.0
YNL110C	229.0
YNL111C	108.6
YNL112W	1713.5
YNL113W	472.7
YNL115C	
YNL116W	
YNL118C	358.0
YNL119W	
YNL121C	227.5
YNL122C	
YNL123W	56.5
YNL124W	
YNL125C	
YNL126W	
YNL127W	
YNL129W	
YNL130C	107.5
YNL131W	
YNL132W	258.0
YNL133C	
YNL134C	341.0
YNL135C	1035.1
YNL136W	
YNL137C	91.5
YNL138W	365.5
YNL139C	74.5
YNL141W	226.0
YNL142W	57.5
YNL143C	269.1
YNL146W	56.0
YNL147W	365.4
YNL148C	
YNL149C	227.9
YNL152W	
YNL153C	803.6
YNL154C	277.5
YNL155W	63.0
YNL156C	96.5
YNL157W	165.4
YNL158W	112.1
YNL161W	
YNL162W	2219.5
YNL162W-A	
YNL163C	174.5
YNL164C	
YNL166C	162.5
YNL167C	
YNL168C	105.5
YNL169C	
YNL172W	
YNL173C	176.0
YNL175C	179.5
YNL176C	
YNL177C	126.5
YNL180C	158.5
YNL181W	73.0
YNL183C	193.5
YNL185C	223.0
YNL186W	183.5
YNL189W	
YNL190W	
YNL191W	79.5
YNL194C	
YNL197C	305.5
YNL198C	
YNL200C	
YNL201C	82.5
YNL206C	
YNL207W	213.0
YNL209W	5151.5
YNL211C	
YNL212W	143.9
YNL213C	
YNL214W	
YNL215W	109.0
YNL216W	162.5
YNL217W	
YNL218W	
YNL219C	199.0
YNL220W	1855.0
YNL221C	
YNL223W	
YNL224C	
YNL225C	
YNL227C	
YNL229C	158.5
YNL230C	
YNL231C	617.0
YNL232W	180.5
YNL233W	53.0
YNL234W	
YNL236W	
YNL238W	166.0
YNL239W	163.0
YNL241C	652.5
YNL242W	
YNL243W	447.2
YNL245C	
YNL246W	95.5
YNL247W	458.0
YNL248C	
YNL250W	
YNL251C	485.5
YNL252C	
YNL254C	
YNL255C	1621.3
YNL256W	
YNL257C	219.5
YNL258C	126.5
YNL259C	80.0
YNL261W	
YNL262W	66.5
YNL264C	
YNL265C	121.5
YNL267W	
YNL268W	500.0
YNL271C	
YNL272C	119.5
YNL273W	
YNL274C	102.0
YNL275W	48.0
YNL277W	
YNL278W	84.5
YNL279W	
YNL280C	516.0
YNL281W	796.1
YNL282W	50.3
YNL283C	133.5
YNL284C	214.0
YNL286W	
YNL287W	940.4
YNL288W	283.0
YNL290W	150.0
YNL292W	
YNL293W	50.0
YNL297C	115.0
YNL298W	
YNL299W	
YNL300W	587.5
YNL301C	2109.0
YNL302C	2532.0
YNL304W	
YNL305C	
YNL306W	49.5
YNL307C	441.5
YNL308C	2292.0
YNL309W	
YNL310C	170.9
YNL311C	
YNL312W	
YNL313C	298.5
YNL315C	95.0
YNL316C	
YNL317W	64.5
YNL322C	603.5
YNL323W	179.5
YNL325C	
YNL326C	70.0
YNL327W	468.5
YNL328C	
YNL329C	85.8
YNL330C	135.5
YNL336W	153.5
YNR001C	1148.0
YNR004W	
YNR006W	
YNR007C	
YNR009W	
YNR010W	
YNR011C	
YNR012W	
YNR013C	96.6
YNR014W	155.5
YNR015W	71.0
YNR016C	1432.0
YNR017W	172.5
YNR018W	157.0
YNR019W	
YNR021W	707.5
YNR022C	281.2
YNR023W	57.5
YNR024W	49.7
YNR026C	75.5
YNR027W	63.5
YNR028W	
YNR029C	65.5
YNR030W	119.5
YNR031C	
YNR032W	
YNR033W	54.5
YNR034W	228.5
YNR034W-A	123.8
YNR035C	993.0
YNR038W	117.0
YNR039C	
YNR040W	72.5
YNR041C	
YNR043W	417.5
YNR044W	73.0
YNR045W	
YNR046W	306.8
YNR047W	154.0
YNR048W	176.0
YNR049C	
YNR050C	7745.5
YNR051C	449.5
YNR052C	212.5
YNR053C	901.0
YNR054C	122.5
YNR055C	89.5
YNR056C	
YNR061C	
YNR067C	
YNR075W	
YOL001W	
YOL004W	
YOL005C	403.3
YOL006C	69.5
YOL007C	
YOL009C	
YOL010W	201.5
YOL011W	95.4
YOL012C	535.0
YOL013C	
YOL016C	195.0
YOL017W	
YOL019W	
YOL020W	298.0
YOL021C	125.5
YOL022C	
YOL023W	239.5
YOL027C	359.5
YOL028C	
YOL030W	
YOL031C	
YOL032W	
YOL033W	
YOL034W	
YOL038W	548.0
YOL039W	64.7
YOL041C	270.0
YOL042W	
YOL043C	
YOL044W	
YOL045W	
YOL047C	
YOL048C	117.2
YOL049W	
YOL051W	
YOL052C	437.0
YOL052C-A	
YOL054W	
YOL055C	
YOL056W	122.5
YOL057W	62.5
YOL058W	11512.0
YOL059W	1167.0
YOL060C	123.2
YOL061W	289.0
YOL062C	
YOL064C	435.5
YOL066C	57.5
YOL067C	261.9
YOL068C	
YOL069W	
YOL070C	131.5
YOL071W	100.8
YOL072W	
YOL076W	370.0
YOL077C	398.0
YOL077W-A	240.5
YOL080C	
YOL081W	75.5
YOL082W	
YOL084W	
YOL087C	119.5
YOL088C	
YOL089C	
YOL090W	71.5
YOL092W	406.0
YOL093W	55.0
YOL094C	64.0
YOL096C	
YOL097C	836.0
YOL098C	384.5
YOL100W	
YOL101C	
YOL102C	
YOL103W	
YOL105C	56.5
YOL107W	58.5
YOL108C	54.7
YOL111C	433.0
YOL112W	
YOL113W	
YOL115W	54.0
YOL116W	
YOL117W	
YOL121C	1220.5
YOL123W	
YOL124C	87.0
YOL125W	
YOL126C	539.0
YOL129W	176.1
YOL130W	
YOL134C	86.7
YOL135C	
YOL136C	
YOL137W	
YOL138C	
YOL139C	3427.0
YOL140W	1510.5
YOL141W	
YOL142W	156.0
YOL143C	245.0
YOL144W	4423.5
YOL145C	254.5
YOL147C	120.5
YOL148C	
YOL149W	120.5
YOL150C	
YOL151W	102.0
YOL154W	
YOL159C-A	
YOR001W	60.0
YOR002W	78.5
YOR004W	143.0
YOR006C	76.5
YOR007C	395.5
YOR008C	229.0
YOR014W	284.0
YOR016C	253.0
YOR017W	93.8
YOR018W	59.0
YOR022C	
YOR023C	
YOR025W	
YOR026W	
YOR027W	2273.5
YOR028C	
YOR033C	
YOR034C	
YOR035C	
YOR037W	
YOR038C	
YOR039W	211.0
YOR040W	
YOR042W	285.5
YOR043W	86.0
YOR044W	131.1
YOR045W	
YOR046C	444.5
YOR048C	72.5
YOR051C	140.0
YOR052C	
YOR056C	349.0
YOR057W	83.0
YOR058C	
YOR059C	
YOR060C	
YOR061W	368.5
YOR062C	60.5
YOR063W	5649.0
YOR064C	
YOR065W	456.5
YOR069W	73.5
YOR070C	
YOR073W	
YOR074C	
YOR075W	76.5
YOR076C	
YOR077W	95.5
YOR078W	
YOR081C	75.0
YOR083W	73.5
YOR084W	
YOR085W	
YOR086C	509.0
YOR087W	169.0
YOR089C	585.0
YOR091W	
YOR092W	
YOR094W	208.0
YOR095C	116.5
YOR098C	97.4
YOR099W	54.5
YOR101W	
YOR104W	127.5
YOR107W	
YOR108W	757.5
YOR109W	202.0
YOR110W	51.5
YOR112W	130.5
YOR113W	
YOR115C	55.0
YOR116C	222.0
YOR117W	
YOR118W	63.5
YOR120W	70.5
YOR122C	1242.3
YOR123C	176.0
YOR124C	65.0
YOR127W	
YOR128C	1543.0
YOR129C	
YOR130C	300.5
YOR131C	106.5
YOR132W	146.5
YOR133W	1269.5
YOR136W	1041.0
YOR138C	177.0
YOR140W	71.5
YOR141C	
YOR142W	184.0
YOR143C	
YOR144C	
YOR147W	
YOR148C	
YOR150W	261.9
YOR151C	815.0
YOR152C	176.0
YOR153W	674.4
YOR154W	
YOR156C	
YOR157C	
YOR158W	242.0
YOR160W	52.0
YOR161C	104.5
YOR162C	
YOR163W	157.7
YOR164C	72.0
YOR165W	183.0
YOR167C	2382.2
YOR168W	1088.0
YOR171C	
YOR172W	
YOR173W	
YOR174W	
YOR175C	66.0
YOR176W	414.0
YOR179C	70.8
YOR181W	132.0
YOR182C	2686.0
YOR184W	1975.5
YOR185C	151.5
YOR187W	504.5
YOR188W	
YOR189W	100.4
YOR191W	
YOR193W	
YOR195W	
YOR196C	166.0
YOR197W	126.5
YOR198C	1520.5
YOR199W	74.2
YOR201C	
YOR205C	
YOR206W	223.0
YOR207C	141.5
YOR208W	
YOR209C	433.5
YOR210W	720.1
YOR212W	48.5
YOR213C	
YOR214C	
YOR215C	360.6
YOR216C	385.5
YOR217W	91.5
YOR220W	76.0
YOR221C	
YOR224C	283.6
YOR226C	576.9
YOR227W	
YOR228C	
YOR229W	60.5
YOR230W	466.5
YOR231W	
YOR232W	177.0
YOR233W	56.0
YOR234C	2447.0
YOR236W	92.5
YOR238W	
YOR239W	562.5
YOR241W	319.0
YOR243C	
YOR244W	
YOR245C	
YOR246C	
YOR247W	81.5
YOR248W	88.5
YOR249C	
YOR251C	
YOR252W	81.6
YOR253W	82.3
YOR254C	521.9
YOR258W	
YOR259C	590.5
YOR260W	309.5
YOR261C	520.5
YOR262W	76.5
YOR264W	
YOR265W	208.7
YOR266W	
YOR267C	
YOR269W	
YOR270C	1680.3
YOR271C	49.0
YOR272W	160.0
YOR273C	755.6
YOR274W	55.0
YOR275C	
YOR276W	1089.2
YOR279C	
YOR281C	205.5
YOR283W	760.5
YOR284W	
YOR285W	810.8
YOR286W	360.3
YOR288C	
YOR289W	74.5
YOR290C	
YOR291W	120.1
YOR292C	
YOR293W	231.0
YOR295W	
YOR296W	
YOR297C	
YOR298C-A	3243.9
YOR299W	
YOR302W	900.8
YOR303W	1570.0
YOR304C-A	107.1
YOR304W	51.0
YOR305W	
YOR307C	51.0
YOR308C	
YOR310C	1261.5
YOR311C	
YOR312C	2435.5
YOR315W	
YOR316C	140.5
YOR317W	1878.0
YOR319W	211.5
YOR320C	
YOR321W	
YOR322C	106.0
YOR323C	247.0
YOR324C	
YOR326W	410.5
YOR327C	113.0
YOR329C	113.7
YOR330C	
YOR332W	1755.5
YOR334W	
YOR335C	2770.0
YOR336W	
YOR337W	
YOR340C	311.5
YOR341W	683.5
YOR342C	60.5
YOR344C	
YOR346W	6148.0
YOR347C	134.0
YOR349W	
YOR350C	57.5
YOR352W	
YOR353C	
YOR354C	193.0
YOR355W	
YOR356W	156.5
YOR357C	68.0
YOR358W	
YOR359W	130.0
YOR360C	121.0
YOR361C	1903.5
YOR362C	849.0
YOR363C	
YOR367W	95.1
YOR370C	268.5
YOR371C	50.5
YOR372C	
YOR373W	
YOR374W	1441.5
YOR375C	9338.0
YOR377W	
YOR385W	
YOR386W	
YPL002C	
YPL004C	68.5
YPL005W	
YPL006W	
YPL007C	
YPL008W	
YPL009C	268.0
YPL010W	1365.5
YPL011C	
YPL012W	342.0
YPL013C	94.8
YPL014W	98.0
YPL015C	146.0
YPL016W	55.5
YPL017C	
YPL018W	
YPL019C	
YPL020C	
YPL022W	
YPL024W	
YPL026C	127.0
YPL028W	793.5
YPL029W	
YPL030W	153.5
YPL031C	152.5
YPL032C	256.0
YPL037C	3817.3
YPL038W	57.1
YPL040C	
YPL043W	198.5
YPL045W	67.0
YPL046C	
YPL047W	125.6
YPL048W	1107.5
YPL049C	80.5
YPL050C	128.5
YPL051W	
YPL053C	51.0
YPL055C	98.5
YPL057C	88.5
YPL058C	1743.7
YPL059W	214.9
YPL060W	
YPL061W	14858.0
YPL063W	342.0
YPL064C	
YPL065W	
YPL066W	
YPL067C	
YPL068C	
YPL069C	118.0
YPL070W	
YPL071C	
YPL072W	
YPL074W	
YPL075W	103.5
YPL076W	52.0
YPL078C	1813.5
YPL079W	2700.5
YPL081W	5702.0
YPL082C	281.5
YPL083C	
YPL084W	222.5
YPL085W	242.0
YPL086C	137.0
YPL087W	
YPL089C	
YPL090C	3925.0
YPL091W	282.0
YPL093W	590.0
YPL094C	435.0
YPL096W	
YPL097W	86.5
YPL100W	
YPL104W	
YPL105C	121.0
YPL106C	1906.5
YPL107W	64.0
YPL108W	
YPL109C	
YPL110C	
YPL111W	1415.0
YPL112C	130.0
YPL115C	85.5
YPL116W	105.5
YPL117C	534.0
YPL118W	172.5
YPL119C	
YPL120W	74.5
YPL122C	
YPL124W	
YPL125W	132.3
YPL126W	199.5
YPL127C	417.5
YPL128C	128.0
YPL129W	207.5
YPL131W	4079.5
YPL133C	
YPL134C	
YPL135W	1794.0
YPL137C	203.0
YPL138C	
YPL139C	
YPL140C	
YPL141C	
YPL144W	63.7
YPL145C	994.5
YPL146C	175.5
YPL150W	
YPL151C	
YPL152W	
YPL153C	
YPL154C	
YPL155C	
YPL157W	
YPL158C	
YPL160W	2858.5
YPL161C	123.5
YPL162C	151.0
YPL163C	
YPL166W	
YPL168W	
YPL169C	
YPL170W	88.5
YPL172C	
YPL175W	53.0
YPL177C	
YPL178W	243.5
YPL179W	
YPL180W	
YPL181W	57.5
YPL183C	76.5
YPL183W-A	236.9
YPL184C	290.5
YPL188W	
YPL190C	
YPL191C	
YPL192C	
YPL193W	
YPL194W	
YPL195W	137.7
YPL198W	2358.0
YPL199C	
YPL202C	
YPL203W	84.0
YPL204W	244.0
YPL206C	
YPL207W	186.0
YPL208W	55.0
YPL209C	
YPL210C	368.0
YPL211W	519.3
YPL212C	211.5
YPL213W	
YPL214C	
YPL215W	295.0
YPL219W	
YPL220W	907.5
YPL221W	285.2
YPL222W	
YPL223C	
YPL225W	374.2
YPL226W	1206.0
YPL227C	145.5
YPL228W	
YPL229W	
YPL231W	2315.0
YPL232W	
YPL233W	
YPL234C	304.0
YPL236C	
YPL239W	338.7
YPL240C	3716.0
YPL241C	
YPL242C	
YPL243W	380.0
YPL245W	
YPL246C	448.0
YPL247C	
YPL249C	
YPL249C-A	2312.4
YPL250C	
YPL252C	464.1
YPL254W	
YPL255W	71.5
YPL256C	
YPL259C	
YPL260W	544.0
YPL262W	447.0
YPL263C	279.0
YPL265W	1500.0
YPL269W	
YPL270W	165.5
YPL271W	1182.0
YPL273W	900.5
YPL274W	271.0
YPR001W	
YPR002W	
YPR003C	51.7
YPR004C	891.5
YPR006C	
YPR008W	59.0
YPR010C	599.0
YPR011C	
YPR013C	
YPR016C	783.0
YPR017C	95.5
YPR019W	160.5
YPR020W	
YPR022C	
YPR023C	
YPR024W	77.4
YPR025C	50.5
YPR028W	1060.0
YPR029C	
YPR031W	
YPR032W	
YPR033C	772.0
YPR034W	195.5
YPR035W	10043.0
YPR036W	1148.5
YPR037C	
YPR040W	56.5
YPR041W	1335.0
YPR042C	132.5
YPR043W	4794.0
YPR045C	91.5
YPR046W	50.4
YPR047W	
YPR049C	
YPR051W	103.2
YPR052C	734.1
YPR055W	64.0
YPR056W	
YPR057W	
YPR060C	220.0
YPR061C	
YPR062W	313.6
YPR063C	
YPR065W	54.0
YPR066W	
YPR067W	172.7
YPR069C	470.5
YPR070W	61.5
YPR071W	
YPR072W	295.0
YPR073C	123.2
YPR074C	4893.5
YPR075C	
YPR079W	114.5
YPR080W	30271.5
YPR081C	
YPR083W	
YPR086W	63.0
YPR090W	129.5
YPR091C	181.0
YPR097W	
YPR098C	
YPR100W	208.2
YPR101W	59.2
YPR102C	923.7
YPR103W	
YPR104C	
YPR105C	
YPR107C	
YPR108W	78.0
YPR110C	630.5
YPR111W	58.0
YPR113W	233.0
YPR114W	444.0
YPR115W	48.0
YPR116W	
YPR118W	
YPR119W	
YPR122W	
YPR124W	
YPR125W	355.5
YPR127W	
YPR128C	148.5
YPR129W	159.0
YPR131C	50.5
YPR132W	1439.5
YPR134W	
YPR135W	
YPR137W	149.0
YPR138C	112.0
YPR139C	
YPR140W	
YPR141C	
YPR143W	266.5
YPR144C	77.0
YPR145W	9502.5
YPR147C	
YPR148C	
YPR149W	3908.5
YPR152C	
YPR154W	84.0
YPR155C	
YPR156C	512.5
YPR159W	162.6
YPR160W	267.0
YPR161C	
YPR163C	1860.5
YPR168W	192.2
YPR169W	
YPR171W	
YPR172W	129.7
YPR173C	179.5
YPR174C	55.0
YPR175W	64.5
YPR178W	
YPR179C	
YPR180W	64.0
YPR182W	177.2
YPR183W	694.0
YPR184W	89.0
YPR185W	
YPR186C	
YPR187W	1080.3
YPR188C	
YPR189W	167.0
YPR190C	80.5
YPR191W	371.0
