ORF Name	Intensity
YGL038C	1088400000
YOR071C	927080
YOL084W	31719000
YDR485C	87189000
YDR247W	17478000
YFR022W	3612900
YJR043C	159220000
YJL097W	4969100
YBR133C	360480000
YER067W	1634200000
YDR077W	36389000
YOL119C	3158300
YHR179W	36682000000
YDL128W	1985600000
YDL002C	441310000
YPR147C	70368000
YDL204W	562840000
YJR022W	873660000
YKL035W	39455000000
YBR114W	1722500
YAL062W	349520
YPR140W	77687000
YLR229C	1262500000
YBR264C	337210000
YDL215C	835400000
YPL141C	63324000
YPL191C	20462000
YCL047C	328330000
YMR059W	626490
YGR041W	63066000
YHR103W	772260000
YGR068C	28332000
YOR269W	6593100
YPL155C	457040
YBR175W	49498000
YMR172W	20713000
YJR119C	72802000
YKR100C	84006000
YMR284W	63817000
YMR184W	197050000
YIL047C	213680000
YOL032W	643120000
YKL061W	346600000
YBR078W	21676000000
YLR009W	22442000
YCL035C	9774500000
YNL014W	7239900
YGL082W	810600000
YDL119C	146870
YLR052W	441060000
YPL111W	21190000000
YML128C	7928300000
YLR438W	19933000000
YDR304C	15723000000
YOR374W	38868000000
YJR104C	12632000000
YOR236W	329320000
YDR171W	4485100000
YKR010C	157670000
YGR117C	892070000
YPL213W	105670000
YPL061W	3.43E+11
YDR480W	38111000
YGR143W	30637000
YLR220W	983150000
YLR364W	1026400000
YPL070W	74054000
YOL036W	396330
YER155C	6893400000
YKL095W	377430000
YDR286C	68221000
YOL126C	1685300000
YEL061C	617770000
YNL085W	771300000
YKL019W	80719000
YPL096W	3106100000
YNL015W	22042000000
YDR334W	172220000
YMR298W	376050000
YDR173C	181910000
YOR038C	155730000
YDR174W	10080000000
YLR359W	17935000000
YDR379W	491710000
YOR219C	159560000
YOL028C	3404700
YGR056W	372370000
YNL212W	1491300000
YGL178W	46005000
YDR205W	1167500
YLR128W	26082000
YNL298W	416400000
YDR046C	68704000
YNL258C	374340000
YKR093W	1532100000
YBR111W-A	235900000
YLR356W	68763000
YNL201C	309770000
YDL135C	6004400000
YDL224C	1046000000
YEL066W	1160100000
YDR308C	533650000
YGR169C	99708000
YDR111C	74355000
YPL206C	478470000
YOR274W	24509000
YER016W	129000000
YKL042W	566170000
YBL078C	859930000
YHR049W	16000000000
YGL156W	435090000
YOR018W	263810000
YIL136W	2805600000
YPR168W	53454000
YOR023C	44251000
YOR265W	10164000000
YFL014W	17199000000
YIL056W	77879000
YHR201C	5367200000
YDR510W	18763000000
YOR280C	644680000
YGR180C	37466000000
YDR201W	204500000
YOR037W	18867000
YFR029W	62043000
YPR081C	229430000
YDR251W	1503300000
YMR291W	922670000
YGR008C	4764800000
YMR147W	175770000
YMR015C	2030400000
YGR037C	28371000000
YNL173C	2286100000
YOR054C	66265000
YMR198W	30829000
YGL139W	510070000
YLR011W	57289000
YDR453C	560030000
YNL234W	267840000
YBR202W	136760000
YDR283C	339240000
YKL084W	89767000
YJL047C	50656000
YLR104W	441990000
YKL103C	9813700000
YGR191W	120480000
YGR021W	23791000
YBR231C	95116000
YNL133C	432050000
YKL184W	729630000
YBL018C	4450600
YLL043W	258580000
YNL042W	59724000
YIL153W	143410000
YBR085C-A	8614200000
YER079W	153370000
YNL106C	136250000
YOR148C	68048000
YGL212W	188210000
YJR144W	3309000000
YHR135C	417080000
YEL007W	95982000
YIL162W	393320000
YEL012W	149320000
YER071C	267420000
YIR021W	21441000
YMR255W	232840000
YHR056C	371990000
YDR389W	100190000
YDR507C	3107000000
YLR080W	451890000
YDR300C	5984700000
YNL283C	153540000
YDL003W	285710000
YKL201C	137390000
YNL286W	143990000
YBL106C	12228000
YLR417W	184030000
YLR412W	227820000
YPL075W	27309000
YPL204W	1175600000
YLR357W	1147400000
YMR226C	38412000000
YNL191W	208990000
YOR220W	1098500000
YKL146W	47275000
YKR089C	249020000
YLR395C	149950000
YFR013W	181910000
YNR018W	1569400000
YBR272C	229090000
YDL010W	872850000
YCR052W	2005100000
YDL036C	284320000
YOR104W	49928000
YLR300W	1981200000
YIL147C	159700000
YOL075C	13793000
YPL196W	44474000
YER005W	69187000
YOL013C	28699000
YJL196C	86260000
YCR037C	885440000
YML006C	160820000
YGR189C	1035000000
YOL083W	8329700
YPR103W	991010000
YLR059C	249230000
YLR323C	85893000
YER113C	14406000
YLR209C	4182400000
YPL083C	10795000
YLR193C	55188
YBR001C	69543000
YNR048W	105760000
YPL150W	26653000
YDR424C	3440000000
YGR003W	4380500
YOL146W	4474000
YNL238W	133500000
YLR283W	75536000
YML127W	2525900000
YPL046C	132160000
YOL031C	1305700000
YDR216W	1313800000
YML081W	202860000
YBR082C	21840000000
YDR541C	43397000
YOR326W	8207400000
YER042W	1425700000
YML005W	653670000
YNL088W	5351800000
YDL012C	338490000
YGL059W	970340
YKL064W	13588000
YLR033W	834510000
YKL104C	12388000000
YNL245C	142270000
YKL121W	33517000
YBR200W	602960000
YDL106C	362910000
YOR126C	3038600000
YKL072W	716460
YAL001C	157320000
YJR010W	116090000
YOR377W	22213000
YPR113W	814190000
YOL053W	3315900
YGL240W	20694000
YGR122W	5478600000
YER142C	183870000
YFL029C	30852000
YBR169C	4561400000
YPR040W	154250000
YJR096W	1556800000
YOR141C	713550000
YIL131C	129230000
YFL013C	213040000
YGR203W	254460000
YNL090W	257870000
YPL214C	78602000
YNL082W	22653000
YBL046W	798510000
YOR246C	47688000
YDL104C	15014000
YHL002W	2075300000
YJL162C	114940000
YPR021C	2050200
YKR038C	531470000
YGL194C	36466000
YCL024W	241780000
YOR211C	809250000
YDR045C	81761000
YJL081C	823090000
YGL150C	2883500000
YGR049W	44421000
YCR068W	4254500
YOL125W	61188000
YMR008C	1347200000
YER180C-A	6574100
YKL018C-A	124500000
YER075C	184200000
YPL038W	7827600
YML038C	86026000
YJL198W	456630000
YNL107W	136530000
YDR109C	125530000
YNL129W	1246200000
YGR126W	131460000
YNL047C	28634000
YOR304C-A	8358300
YKL100C	529570000
YDL159W	44035000
YCR008W	105370000
YJR051W	2695200000
YDR196C	371120000
YLR001C	64473000
YCR019W	37010000
YGR026W	328540000
YML029W	149240000
YIL066C	34433000
YOL060C	462060000
YFR037C	7408000000
YHR199C-A	72796000
YLR262C-A	3250400000
YCL033C	274220000
YLR292C	721010000
YOL141W	109190000
R0040C	2048200000
YJL145W	2711600000
YDR519W	2164100000
YBL055C	459750000
YGR223C	330660000
YLR177W	19011000
YOR097C	43249000
YLR178C	2908600000
YJL044C	198460000
YDR139C	409200000
YBR060C	162150000
YGR060W	53418000
YNL267W	625370000
YJL115W	855120000
YPR116W	7958400
YDL203C	56539000
YJR082C	84702000
YIR001C	1155900000
YPL161C	33549000
YOR094W	354720000
