#ORF	Ave. YEPD
YDL019C	114.0
YDL020C	
YDL021W	
YDL022W	2206.0
YDL025C	84.0
YDL027C	
YDL028C	
YDL029W	
YDL030W	
YDL033C	
YDL036C	
YDL040C	717.5
YDL042C	62.0
YDL043C	
YDL044C	
YDL045C	
YDL045W-A	
YDL046W	74.5
YDL047W	166.5
YDL048C	
YDL051W	517.0
YDL052C	951.0
YDL053C	247.0
YDL054C	
YDL055C	23965.5
YDL056W	
YDL058W	252.0
YDL059C	
YDL060W	410.5
YDL061C	2578.5
YDL063C	139.5
YDL064W	588.5
YDL065C	202.5
YDL066W	645.5
YDL067C	
YDL070W	152.0
YDL072C	692.5
YDL074C	113.5
YDL076C	64.5
YDL077C	
YDL078C	274.5
YDL080C	
YDL081C	6605.0
YDL082W	4069.5
YDL083C	415.0
YDL084W	
YDL085C-A	258.5
YDL087C	
YDL088C	173.0
YDL089W	
YDL090C	
YDL091C	
YDL092W	332.5
YDL095W	111.5
YDL097C	677.0
YDL098C	
YDL099W	209.5
YDL100C	521.5
YDL101C	
YDL102W	221.5
YDL103C	201.0
YDL104C	
YDL105W	
YDL106C	
YDL107W	
YDL108W	46.5
YDL110C	205.5
YDL111C	194.5
YDL112W	
YDL113C	
YDL115C	
YDL116W	298.0
YDL117W	
YDL119C	
YDL120W	116.5
YDL121C	409.5
YDL122W	239.5
YDL123W	335.0
YDL124W	464.0
YDL125C	602.5
YDL126C	2023.0
YDL128W	249.0
YDL129W	
YDL130W	9142.5
YDL130W-A	140.0
YDL131W	691.5
YDL132W	111.0
YDL133C-A	6413.5
YDL134C	129.5
YDL135C	358.0
YDL136W	2790.5
YDL137W	164.0
YDL139C	
YDL140C	1379.0
YDL141W	155.5
YDL142C	
YDL144C	89.5
YDL145C	1290.0
YDL146W	
YDL147W	1089.5
YDL150W	196.0
YDL152W	50.0
YDL155W	
YDL156W	
YDL157C	
YDL159W	83.5
YDL160C	619.5
YDL161W	198.5
YDL164C	
YDL165W	110.0
YDL166C	244.5
YDL167C	161.0
YDL168W	98.5
YDL170W	
YDL171C	642.0
YDL173W	219.5
YDL174C	
YDL175C	
YDL176W	
YDL178W	237.0
YDL180W	
YDL181W	124.0
YDL182W	780.0
YDL184C	10529.5
YDL185W	4973.0
YDL188C	
YDL189W	128.0
YDL190C	193.0
YDL191W	4919.0
YDL192W	4335.5
YDL193W	266.5
YDL195W	1375.5
YDL197C	
YDL201W	133.5
YDL202W	227.5
YDL203C	52.5
YDL204W	
YDL205C	299.5
YDL207W	72.0
YDL208W	1210.5
YDL209C	
YDL211C	
YDL212W	545.0
YDL213C	574.0
YDL215C	99.5
YDL216C	
YDL219W	
YDL220C	
YDL222C	
YDL223C	
YDL224C	125.0
YDL225W	330.0
YDL226C	469.0
YDL227C	
YDL229W	1218.0
YDL230W	
YDL232W	1881.0
YDL233W	
YDL234C	
YDL235C	317.0
YDL236W	321.0
YDL238C	
YDL240W	
YDL248W	
YDR001C	195.0
YDR003W	165.5
YDR004W	
YDR005C	
YDR006C	
YDR007W	60.5
YDR009W	
YDR011W	533.0
YDR012W	3191.5
YDR014W	
YDR016C	91.5
YDR017C	112.0
YDR019C	595.5
YDR020C	104.5
YDR021W	61.5
YDR022C	
YDR023W	2307.0
YDR024W	
YDR025W	49.5
YDR026C	
YDR027C	74.5
YDR028C	161.0
YDR031W	
YDR032C	289.5
YDR033W	3378.5
YDR034C	
YDR034W-B	116.5
YDR035W	548.0
YDR036C	222.0
YDR038C	
YDR039C	44.5
YDR040C	56.5
YDR041W	
YDR043C	
YDR044W	304.5
YDR046C	906.5
YDR047W	160.0
YDR049W	92.0
YDR050C	4768.0
YDR051C	79.5
YDR052C	
YDR054C	280.0
YDR055W	181.0
YDR056C	323.5
YDR059C	48.0
YDR060W	427.0
YDR061W	78.5
YDR062W	332.5
YDR063W	102.0
YDR065W	
YDR066C	
YDR067C	
YDR068W	180.0
YDR069C	
YDR070C	99.5
YDR071C	167.5
YDR072C	
YDR073W	
YDR074W	699.0
YDR075W	45.5
YDR076W	
YDR077W	3379.0
YDR079C-A	
YDR079W	
YDR080W	
YDR081C	
YDR083W	104.0
YDR084C	78.5
YDR086C	432.0
YDR087C	245.0
YDR088C	
YDR089W	
YDR090C	160.5
YDR091C	1224.0
YDR092W	360.0
YDR093W	171.5
YDR096W	
YDR097C	
YDR098C	75.0
YDR099W	2218.5
