Accession number	Control (copies/cell Spectral counts)
YP_003599.1	37
ENGB_LEPIC	37
YP_001367.1	37
YP_001045.1	34
YP_001812.1	34
YP_000459.1	27
YP_001296.1	24
YP_001270.1	17
BIOD_LEPIC	14
YP_000613.1	14
YP_002647.1	11
YP_002864.1	11
YP_002227.1	2
YP_000560.1	
YP_000515.1	
YP_000912.1	
YP_003188.1	
YP_002438.1	
YP_003128.1	
YP_000630.1	
YP_001021.1	132
YP_003031.1	132
YP_002598.1	30
YP_001528.1	24
YP_001068.1	75
YP_000891.1	71
YP_002817.1	64
GMHA_LEPIC	44
YP_000616.1	30
YP_000805.1	27
YP_001615.1	14
YP_000246.1	
YP_001466.1	
YP_002807.1	
YP_001468.1	
YP_002195.1	
YP_002440.1	
YP_003160.1	
YP_000851.1	707
YP_001260.1	203
YP_000850.1	17
YP_003272.1	1009
YP_000272.1	166
YP_003594.1	203
YP_003032.1	1318
YP_001942.1	387
YP_001167.1	242
YP_002134.1	762
YP_000562.1	192
YP_002152.1	75
YP_001371.1	484
YP_000696.1	129
YP_002405.1	121
YP_000028.1	
YP_002650.1	545
YP_000327.1	211
YP_000121.1	699
YP_000612.1	8
YP_002122.1	242
YP_000391.1	37
YP_000259.1	308
YP_001903.1	242
YP_000824.1	181
YP_001404.1	30
YP_002140.1	118
YP_000998.1	92
YP_003615.1	34
GCSH_LEPIC	177
YP_000098.1	125
YP_000292.1	92
YP_002870.1	71
YP_002429.1	64
YP_000032.1	11
YP_002651.1	207
YP_001117.1	158
YP_001308.1	103
YP_000038.1	92
YP_000786.1	92
YP_001962.1	78
YP_002640.1	78
YP_000392.1	71
LIPA_LEPIC	57
YP_002464.1	57
YP_001366.1	50
YP_002561.1	50
YP_002074.1	50
YP_002838.1	47
YP_001447.1	37
YP_001269.1	34
TGT_LEPIC	34
YP_000602.1	30
YP_000053.1	27
YP_002702.1	27
YP_000599.1	27
YP_003453.1	27
YP_001624.1	24
YP_002243.1	21
YP_000580.1	21
YP_003009.1	17
NPD_LEPIC	14
RIMM_LEPIC	14
Y1085_LEPIC	11
YP_002396.1	8
YP_002150.1	5
YP_003434.1	
YP_003435.1	
YP_000657.1	
YP_000667.1	
YP_000619.1	
YP_003432.1	
YP_003312.1	
YP_000052.1	
YP_000087.1	
YP_001439.1	
YP_002220.1	
YP_002480.1	
YP_003007.1	
Y086_LEPIC	
Y249_LEPIC	
YP_003618.1	
YP_000512.1	
YP_003483.1	
YP_000321.1	
YP_000947.1	636
YP_002473.1	177
YP_000698.1	265
YP_001419.1	40
YP_001581.1	37
YP_002189.1	136
YP_000249.1	75
YP_002241.1	21
YP_003479.1	17
YP_002306.1	
YP_000483.1	
YP_001405.1	
YP_001930.1	
YP_003043.1	
YP_000528.1	
YP_001467.1	
YP_001914.1	
YP_003010.1	
YP_000858.1	
YP_002729.1	1401
YP_001745.1	162
YP_002185.1	1108
YP_003390.1	37
YP_000834.1	129
AMPA_LEPIC	47
YP_000749.1	480
YP_001202.1	75
YP_000748.1	452
YP_003004.1	103
YP_003586.1	1152
YP_000215.1	192
YP_003535.1	203
YP_002515.1	151
YP_003295.1	745
YP_003534.1	496
YP_003200.1	435
YP_001279.1	100
YP_002415.1	61
YP_001461.1	132
YP_003383.1	40
YP_001082.1	162
YP_002543.1	37
HTPX_LEPIC	34
YP_002020.1	17
HSLV_LEPIC	8
YP_002237.1	223
YP_003367.1	121
YP_003549.1	78
YP_001081.1	61
YP_000981.1	50
YP_003060.1	40
YP_002621.1	30
YP_001670.1	27
YP_001007.1	24
YP_002397.1	21
YP_001325.1	21
YP_001119.1	14
YP_001362.1	14
YP_002236.1	14
YP_002569.1	8
YP_003242.1	8
YP_000957.1	5
YP_000705.1	
YP_001034.1	
YP_001074.1	
CLPS_LEPIC	
YP_003282.1	
YP_001830.1	
YP_002578.1	
YP_002812.1	
YP_003115.1	
YP_002545.1	
YP_002191.1	
YP_001527.1	
YP_002680.1	
YP_002730.1	
YP_000462.1	
DNAK_LEPIC	3622
YP_002145.1	177
YP_003633.1	2170
HSP15_LEPIC	332
CLPP2_LEPIC	1043
CLPP1_LEPIC	749
DNAJ_LEPIC	399
YP_002930.1	92
YP_002412.1	284
CLPB_LEPIC	2061
CLPX_LEPIC	460
YP_002986.1	64
YP_003002.1	30
YP_000276.1	30
YP_003298.1	71
YP_000518.1	21
YP_001765.1	68
YP_001230.1	61
YP_000575.1	8
YP_000247.1	
YP_000475.1	
YP_003042.1	
YP_000474.1	
YP_001690.1	
YP_000941.1	
YP_002383.1	1086
Y1769_LEPIC	328
YP_002892.1	281
YP_003405.1	71
YP_001173.1	181
YP_000541.1	328
YP_001902.1	78
YP_001406.1	169
YP_003638.1	504
YP_002208.1	273
YP_000043.1	17
YP_003000.1	292
YP_000662.1	61
YP_001106.1	57
YP_001171.1	284
YP_002312.1	211
YP_002022.1	110
YP_002724.1	71
YP_001098.1	61
YP_002433.1	50
YP_001508.1	34
YP_001845.1	24
YP_002432.1	21
YP_003149.1	21
YP_003176.1	21
YP_002032.1	17
YP_001099.1	11
YP_001266.1	8
YP_000898.1	5
YP_000968.1	
YP_002250.1	
YP_003571.1	
YP_000322.1	
YP_000563.1	
YP_001097.1	
YP_001096.1	
YP_001101.1	
YP_003573.1	
YP_001100.1	
YP_001095.1	
YP_003572.1	
YP_001993.1	
YP_003235.1	
YP_003330.1	
YP_000002.1	1459
RPOA_LEPIC	1740
RPOB_LEPIC	3518
RPOC_LEPIC	2418
YP_000728.1	566
YP_002627.1	1331
YP_002559.1	1362
YP_000768.1	1481
YP_000590.1	513
YP_003375.1	162
YP_001578.1	300
YP_000570.1	50
YP_000213.1	158
YP_003373.1	143
YP_003073.1	85
YP_001654.1	37
FTSK_LEPIC	17
YP_000041.1	14
YP_003394.1	8
YP_002014.1	
RECF_LEPIC	
DPO4_LEPIC	
YP_000600.1	
YP_002231.1	
YP_002849.1	
YP_000390.1	
YP_001575.1	484
YP_000977.1	484
RPOD_LEPIC	359
YP_000534.1	100
YP_000205.1	316
YP_000334.1	169
YP_001344.1	200
YP_002369.1	288
YP_002851.1	476
YP_002985.1	188
YP_002686.1	173
YP_000979.1	92
YP_000216.1	114
YP_000128.1	177
YP_003566.1	230
HRCA_LEPIC	82
YP_000372.1	151
YP_001972.1	50
YP_001124.1	219
YP_002704.1	147
YP_003481.1	89
YP_002418.1	78
YP_000554.1	71
YP_001753.1	37
YP_000995.1	284
YP_002330.1	238
YP_003440.1	203
YP_001630.1	118
YP_003507.1	75
YP_002558.1	54
YP_001416.1	34
YP_000610.1	34
YP_001475.1	34
YP_001128.1	30
YP_001441.1	30
YP_000140.1	21
YP_001200.1	17
YP_002239.1	17
YP_003012.1	17
YP_000924.1	14
YP_002141.1	14
YP_002658.1	14
YP_001951.1	14
YP_001504.1	11
YP_003538.1	11
YP_003173.1	11
YP_002951.1	8
YP_000290.1	8
YP_003192.1	5
YP_003657.1	
YP_001748.1	
YP_002424.1	
YP_003318.1	
YP_001543.1	
YP_000381.1	
YP_003500.1	
YP_000650.1	
YP_001768.1	
YP_003474.1	
YP_002715.1	
YP_000628.1	
YP_001388.1	
YP_003569.1	
YP_001116.1	
YP_000543.1	
YP_002677.1	
YP_000013.1	
YP_003180.1	
YP_003503.1	
YP_003034.1	
YP_003093.1	
YP_000949.1	
YP_002506.1	
YP_003311.1	
YP_001445.1	
YP_003344.1	
YP_002000.1	
YP_000364.1	
YP_000361.1	
YP_002362.1	
YP_003473.1	
YP_001161.1	
YP_002577.1	
YP_001484.1	
YP_002712.1	2663
YP_002133.1	1313
TAL_LEPIC	1069
YP_003206.1	774
YP_000382.1	1160
YP_000948.1	983
YP_003223.1	1039
YP_000430.1	399
YP_000395.1	129
YP_001085.1	846
YP_000584.1	460
YP_000436.1	121
YP_001742.1	1287
YP_001801.1	1226
KDSA_LEPIC	379
YP_002103.1	447
RISB_LEPIC	181
ARGD_LEPIC	541
YP_002757.1	1331
YP_000591.1	1030
GLYA_LEPIC	682
YP_000413.1	304
YP_002132.1	757
YP_003563.1	50
YP_001704.1	177
YP_002958.1	288
TRPD_LEPIC	71
YP_002167.1	300
YP_003393.1	226
YP_003062.1	320
YP_003403.1	300
YP_002353.1	431
YP_002257.1	707
YP_001678.1	476
YP_002114.1	30
YP_003104.1	82
YP_002657.1	155
YP_002115.1	78
YP_001947.1	253
YP_001813.1	27
YP_001035.1	155
YP_003130.1	17
YP_000429.1	75
PUR9_LEPIC	452
LGT_LEPIC	
YP_002136.1	21
YP_001703.1	
YP_001555.1	335
YP_002057.1	207
YP_001373.1	125
YP_002106.1	85
YP_002072.1	8
YP_002251.1	103
YP_002162.1	21
YP_003158.1	121
YP_001637.1	132
YP_000888.1	395
YP_002092.1	173
APT_LEPIC	169
YP_000055.1	169
MTNP_LEPIC	162
YP_000618.1	155
YP_002325.1	151
YP_003593.1	143
YP_000604.1	136
YP_002099.1	136
YP_001764.1	132
YP_001327.1	89
PYRB_LEPIC	75
YP_002125.1	57
YP_001746.1	47
YP_002061.1	24
DXS_LEPIC	21
YP_001872.1	21
YP_002700.1	21
YP_002109.1	17
YP_000994.1	14
YP_002719.1	11
YP_002304.1	8
YP_001971.1	
YP_002470.1	
YP_003169.1	300
YP_002894.1	292
YP_002183.1	234
YP_003276.1	181
ARGJ_LEPIC	177
HIS8_LEPIC	173
YP_001008.1	169
METX_LEPIC	158
YP_001729.1	155
YP_002064.1	147
YP_002256.1	136
HPRK_LEPIC	136
YP_002019.1	132
YP_000257.1	129
YP_002086.1	125
YP_002110.1	118
HIS61_LEPIN	107
OTC_LEPIC	107
YP_003401.1	103
PANB_LEPIC	100
YP_003072.1	71
YP_001861.1	71
YP_001046.1	71
YP_002944.1	68
COAD_LEPIC	68
YP_001803.1	61
YP_000609.1	54
YP_000075.1	54
HIS51_LEPIN	54
YP_000983.1	54
YP_002089.1	50
YP_001732.1	50
YP_001277.1	50
YP_003341.1	50
YP_000571.1	47
YP_002409.1	47
ISPD_LEPIC	44
YP_002178.1	44
YP_003552.1	44
HIS1_LEPIC	40
YP_000701.1	40
YP_001585.1	40
YP_003588.1	40
YP_000144.1	40
YP_003557.1	34
YP_000273.1	30
YP_001910.1	30
YP_000353.1	27
YP_000906.1	27
YP_001262.1	24
YP_001032.1	24
YP_003468.1	24
YP_002310.1	21
YP_000051.1	21
YP_000317.1	21
YP_000442.1	21
YP_002503.1	21
YP_001612.1	17
YP_002068.1	17
YP_001879.1	17
YP_001730.1	14
YP_001278.1	14
YP_003241.1	14
ATE_LEPIC	14
YP_003126.1	14
YP_003555.1	11
YP_003027.1	11
YP_003143.1	11
YP_000552.1	11
MRAW_LEPIC	11
YP_003305.1	8
YP_003309.1	8
YP_002192.1	5
YP_000191.1	5
YP_000751.1	5
YP_000073.1	2
YP_000014.1	
YP_000719.1	
YP_002420.1	
YP_002049.1	
YP_002157.1	
YP_002062.1	
YP_002066.1	
YP_003452.1	
YP_003550.1	
YP_001042.1	
YP_001275.1	
YP_001458.1	
YP_003518.1	
UPPS_LEPIC	
YP_003097.1	
YP_002055.1	
NADD_LEPIC	
YP_003274.1	
YP_001778.1	
YP_003017.1	
YP_001289.1	
YP_000832.1	
YP_000133.1	
YP_002214.1	
YP_000684.1	
YP_002119.1	
YP_000525.1	
YP_002400.1	
YP_002588.1	
YP_003653.1	
YP_001436.1	
YP_001217.1	
YP_002298.1	
YP_003198.1	
YP_001020.1	
YP_001627.1	
YP_002350.1	
YP_000239.1	
YP_002923.1	
YP_001716.1	
YP_000343.1	
YP_000784.1	
YP_002076.1	
YP_001063.1	
YP_002053.1	
YP_002860.1	
YP_000192.1	
YP_002063.1	
YP_002056.1	
YP_002082.1	
YP_000190.1	
YP_002873.1	
YP_001857.1	
YP_001394.1	
YP_001121.1	
YP_000115.1	
YP_003038.1	
YP_003627.1	
YP_003371.1	
YP_001591.1	
YP_001420.1	
RL4_LEPIC	375
RL2_LEPIC	284
RS11_LEPIC	136
YP_002772.1	335
RL1_LEPIC	238
RL3_LEPIC	324
YP_002695.1	166
RL11_LEPIC	383
RS3_LEPIC	207
RL22_LEPIC	332
EFTS_LEPIC	603
RL5_LEPIC	517
RL7_LEPIC	707
RL9_LEPIC	480
YP_002377.1	1521
RS2_LEPIC	407
RL25_LEPIC	591
YP_002779.1	151
RS8_LEPIC	304
YP_000741.1	234
RL23_LEPIC	219
RL10_LEPIC	736
RL17_LEPIC	185
SYT_LEPIC	850
RS6_LEPIC	443
RL19_LEPIC	121
RS7_LEPIC	492
GATB_LEPIC	624
RL16_LEPIC	207
RS4_LEPIC	200
RL6_LEPIC	395
SYI_LEPIC	312
RL15_LEPIC	129
GATA_LEPIC	525
IF3_LEPIC	54
RS12_LEPIC	8
RL27_LEPIC	89
RS10_LEPIC	435
SYG_LEPIC	249
SYN_LEPIC	200
DEF_LEPIC	196
SYM_LEPIC	636
RL24_LEPIC	21
RS13_LEPIC	110
YP_000416.1	196
SYP_LEPIC	427
YP_002858.1	281
RL28_LEPIC	24
SYD_LEPIC	253
RS14_LEPIC	
SYK_LEPIC	211
SYFA_LEPIC	181
RS9_LEPIC	47
RS15_LEPIC	54
SYL_LEPIC	37
YP_001514.1	277
RL35_LEPIC	14
RRF_LEPIC	533
RS21_LEPIC	47
RL29_LEPIC	
RS17_LEPIC	21
SYR_LEPIC	100
YP_001248.1	129
YP_003127.1	230
SYV_LEPIC	238
SYY_LEPIC	103
YP_002767.1	92
RL31_LEPIC	75
RL30_LEPIC	71
RS18_LEPIC	64
RF1_LEPIC	50
RL20_LEPIC	47
YP_002204.1	47
RL18_LEPIC	30
RS19_LEPIC	24
SYE_LEPIC	496
YP_000346.1	269
SYH_LEPIC	257
YP_002717.1	121
YP_000596.1	100
SYC_LEPIC	96
RF2_LEPIC	96
YP_002792.1	85
FMT_LEPIC	75
GIDA_LEPIC	75
YP_002121.1	61
TRMD_LEPIC	47
YP_000529.1	30
PRMA_LEPIC	30
PTH_LEPIC	24
YP_001967.1	24
YP_002181.1	21
RS20_LEPIC	11
TRME_LEPIC	8
YP_003635.1	5
RBFA_LEPIC	
TILS_LEPIC	
RL32_LEPIC	
YP_000621.1	
RL34_LEPIC	
RL36_LEPIC	
YP_001709.1	
YP_002202.1	
YP_000813.1	
TRMB_LEPIC	
TRUB_LEPIC	
YP_002857.1	
YP_001532.1	114
YP_002466.1	242
OXAA_LEPIC	125
YP_003605.1	47
YP_001529.1	158
YP_000985.1	114
HPPA_LEPIC	162
YP_003606.1	21
YP_001579.1	30
YP_002769.1	34
YP_001206.1	11
YP_002614.1	219
YP_001580.1	8
YP_002905.1	
YP_000348.1	17
ACP_LEPIC	324
YP_003379.1	143
YP_002868.1	50
YP_002465.1	44
YP_002029.1	34
YP_002274.1	17
YP_002443.1	114
YP_002452.1	61
YP_002676.1	44
YP_001531.1	17
YP_003542.1	14
YP_003607.1	14
YP_003335.1	11
YP_002156.1	
YP_001506.1	
YP_001536.1	
YP_001590.1	
YP_003603.1	
YP_002949.1	
YP_000426.1	
YP_000573.1	
YP_002514.1	
YP_002318.1	
YP_000058.1	
YP_000972.1	
YP_003540.1	
YP_002638.1	
YP_003461.1	
YP_002593.1	
YP_000873.1	
YP_002911.1	
YP_001646.1	
YP_003592.1	
YP_000869.1	
YP_000867.1	
YP_000868.1	
YP_003560.1	
YP_001078.1	
YP_000727.1	
YP_001920.1	
TATA_LEPIC	
