Accession number	Control (copies/cell Spectral counts)
YP_001823.1	37
YP_002314.1	37
YP_002928.1	37
YP_003643.1	37
YP_000503.1	37
YP_002395.1	37
YP_001539.1	34
YP_002733.1	34
YP_003654.1	34
YP_002255.1	30
YP_000822.1	27
YP_002467.1	27
YP_002935.1	27
YP_003362.1	27
YP_000311.1	24
YP_001361.1	24
YP_001922.1	24
YP_002476.1	24
YP_003484.1	24
YP_000388.1	21
YP_002105.1	21
YP_001880.1	17
YP_002953.1	17
YP_003558.1	17
YP_000649.1	17
YP_002793.1	14
YP_003175.1	14
YP_000153.1	11
YP_002629.1	8
YP_002750.1	8
YP_000545.1	5
YP_001030.1	5
YP_001126.1	
YP_002034.1	
YP_000225.1	
YP_001631.1	
YP_000821.1	
YP_001522.1	383
YP_003656.1	343
YP_002893.1	324
YP_001403.1	316
YP_003331.1	300
YP_000316.1	269
YP_002907.1	249
YP_001833.1	185
YP_002616.1	147
YP_003144.1	140
YP_001599.1	136
YP_002675.1	136
YP_001866.1	132
YP_002713.1	129
YP_003382.1	129
YP_000627.1	118
YP_000683.1	107
YP_001831.1	107
YP_000118.1	103
YP_000405.1	103
YP_001061.1	103
YP_003183.1	103
YP_001918.1	92
YP_002451.1	92
YP_001345.1	89
YP_003339.1	89
YP_000141.1	85
YP_001786.1	85
YP_003114.1	82
YP_001932.1	78
YP_002210.1	78
YP_002340.1	78
YP_002837.1	78
YP_002933.1	75
YP_000077.1	68
YP_001143.1	68
YP_003063.1	68
YP_000989.1	64
YP_001444.1	64
YP_001570.1	64
YP_001787.1	64
YP_001855.1	61
YP_002504.1	61
YP_002856.1	61
YP_000384.1	57
YP_000779.1	57
YP_001502.1	57
YP_002065.1	57
YP_002097.1	57
YP_002285.1	57
YP_002995.1	57
YP_003397.1	57
YP_001509.1	54
YP_003039.1	54
YP_000079.1	50
YP_000996.1	50
YP_001083.1	50
YP_001107.1	50
YP_001424.1	50
YP_001566.1	50
YP_003437.1	50
YP_003628.1	50
YP_000232.1	47
YP_000435.1	47
YP_001912.1	47
YP_002542.1	47
YP_002597.1	47
YP_003441.1	47
YP_000193.1	44
YP_000271.1	44
YP_001240.1	44
YP_001351.1	44
YP_002505.1	44
YP_002654.1	44
YP_002982.1	44
YP_000250.1	40
YP_000750.1	40
YP_000794.1	40
YP_001024.1	40
YP_001041.1	40
YP_001562.1	40
YP_002646.1	40
YP_003112.1	40
YP_003439.1	40
YP_000020.1	37
YP_000418.1	37
YP_001446.1	37
YP_001822.1	37
YP_001953.1	37
YP_002007.1	37
YP_002030.1	37
YP_002148.1	37
YP_002232.1	37
YP_002474.1	37
YP_002488.1	37
YP_002496.1	37
YP_003098.1	37
YP_000376.1	34
YP_000469.1	34
YP_000708.1	34
YP_000780.1	34
YP_001828.1	34
YP_002682.1	34
YP_003207.1	34
YP_003384.1	34
YP_003425.1	34
