Accession number	Control (copies/cell MS1)
QUEF_LEPIC	
YP_003524.1	
YP_002662.1	
YP_003327.1	
YP_002669.1	
YP_002672.1	
YP_002671.1	
NUOH_LEPIC	
YP_003129.1	
YP_002670.1	
YP_003476.1	
YP_003237.1	
YP_003526.1	
YP_003323.1	
YP_003322.1	
YP_003325.1	
YP_002661.1	
YP_002668.1	
YP_001316.1	38050
YP_000182.1	30389
YP_002879.1	10531
YP_000011.1	8830
YP_002972.1	14100
YP_000976.1	6913
YP_001601.1	3506
YP_001417.1	1422
YP_000119.1	455
YP_003634.1	231
YP_000772.1	147
YP_003506.1	
YP_000050.1	
YP_000576.1	
YP_002865.1	
YP_003317.1	
YP_000875.1	
YP_002891.1	
YP_000521.1	
YP_003380.1	
YP_001839.1	14041
YP_000767.1	4328
YP_000766.1	3520
YP_001490.1	3482
FLAB_LEPIC	2038
YP_001228.1	575
YP_001290.1	831
YP_001334.1	493
YP_001491.1	289
YP_000608.1	458
YP_000607.1	274
YP_001355.1	237
YP_000606.1	193
YP_003352.1	248
YP_001665.1	159
YP_003354.1	
YP_001613.1	249
FLGI_LEPIC	122
YP_001341.1	
YP_003244.1	
YP_000288.1	
YP_001158.1	
YP_000605.1	
YP_001785.1	
YP_001357.1	
YP_001356.1	
YP_003353.1	
YP_000707.1	
YP_002968.1	
YP_001848.1	
YP_001353.1	
YP_001354.1	
YP_001795.1	
YP_000023.1	
YP_001352.1	
YP_001335.1	
YP_001973.1	
YP_001292.1	
YP_001340.1	
YP_000289.1	
YP_001338.1	
YP_001337.1	
YP_001521.1	
YP_001157.1	
FLIE_LEPIC	
YP_001339.1	
YP_001336.1	
YP_002861.1	
YP_001294.1	
YP_003255.1	
YP_003561.1	
EFTU_LEPIC	14424
ATPB_LEPIC	5229
YP_002962.1	5022
ATPA_LEPIC	2852
EFG_LEPIC	2204
SAHH_LEPIC	2977
IF2_LEPIC	1386
YP_001376.1	879
YP_001153.1	807
ATPG_LEPIC	423
YP_000060.1	565
YP_001208.1	818
CHED2_LEPIC	266
YP_002289.1	998
YP_003055.1	301
YP_003388.1	
YP_000029.1	375
YP_002352.1	314
YP_001209.1	221
YP_001110.1	298
YP_000283.1	256
LEPA_LEPIC	234
YP_002462.1	220
HSLU_LEPIC	217
YP_002213.1	
YP_003275.1	293
YP_001342.1	226
YP_001965.1	139
YP_000940.1	
YP_001819.1	
YP_003469.1	283
HIS2_LEPIC	327
YP_003429.1	
SURE_LEPIC	
YP_001659.1	
GCH1_LEPIC	
YP_001964.1	
ATPE_LEPIC	
YP_002328.1	
PHL1_LEPIC	
YP_000211.1	
YP_001408.1	
YP_002090.1	
YP_000339.1	
YP_001672.1	
YP_002324.1	
YP_000134.1	
YP_001752.1	
YP_000260.1	
YP_001076.1	
YP_000558.1	
YP_003088.1	
YP_000189.1	
YP_000123.1	
YP_001689.1	
YP_002406.1	
IPYR_LEPIC	
YP_002253.1	
YP_001284.1	
YP_002080.1	
YP_002513.1	
DUT_LEPIC	
YP_003086.1	
YP_001928.1	
YP_003419.1	
YP_002989.1	
YP_003582.1	
YP_001680.1	
YP_002842.1	
YP_000117.1	
YP_003412.1	
YP_000651.1	
YP_002126.1	
YP_003471.1	
YP_002247.1	
ENGC_LEPIC	
YP_002800.1	
YP_000184.1	
YP_001937.1	
YP_002936.1	
HIS3_LEPIC	
YP_001727.1	
YP_001435.1	
YP_002096.1	
YP_001740.1	
YP_000753.1	
YP_000900.1	
COBT_LEPIC	
YP_001120.1	
QUEC_LEPIC	
YP_001426.1	
YP_002818.1	
LOLD_LEPIC	
YP_003026.1	
YP_003022.1	
YP_001997.1	
COBB_LEPIC	
HAM1_LEPIC	
YP_002364.1	
YP_001957.1	
YP_002077.1	
YP_000721.1	
YP_000337.1	
YP_000587.1	
YP_001151.1	
YP_003459.1	
YP_000072.1	
YP_001564.1	
YP_002416.1	
YP_003090.1	
YP_001474.1	
YP_003171.1	
YP_001856.1	
YP_000713.1	
YP_001303.1	
YP_003398.1	
YP_001584.1	
YP_000489.1	
YP_003058.1	
YP_002449.1	
YP_001113.1	
YP_003512.1	
YP_002522.1	
YP_001392.1	
YP_001073.1	
YP_001207.1	
YP_002155.1	
DGTL1_LEPIC	
YP_000377.1	
YP_000577.1	
YP_000582.1	
YP_001283.1	
YP_002414.1	
YP_002078.1	
YP_000089.1	
CHED1_LEPIC	
YP_000963.1	
YP_001649.1	
YP_003074.1	8021
YP_002544.1	3115
YP_001797.1	4271
YP_001908.1	4330
YP_003427.1	2008
YP_002123.1	1864
YP_000982.1	2566
YP_003219.1	1382
YP_000535.1	1629
YP_000206.1	1209
YP_002737.1	1474
YP_002009.1	1354
YP_002388.1	1558
YP_001242.1	1693
YP_003470.1	4127
YP_000304.1	1292
YP_000178.1	178
YP_000656.1	1870
YP_003576.1	2178
YP_000064.1	1088
YP_001178.1	1165
YP_003585.1	756
